directorio,secuencia_p,orden,formal,estrato1,sex,age,fweight,maxeduclevel,y_salary_m_hu,y_total_m,p6585s1,p6585s2,p6585s3,p6585s4
4514331,1,1,1.0,2.0,1.0,36.0,255.0,6.0,6740.74072265625,1620833.25,1,0,1,0
4514333,1,1,1.0,2.0,1.0,51.0,194.0,7.0,5833.33349609375,1378973.375,0,1,0,0
4514334,1,1,1.0,2.0,1.0,45.0,243.0,4.0,3073.82080078125,883357,0,1,0,0
4514335,1,1,0.0,2.0,1.0,61.0,230.0,3.0,4083.33325195312,7e+05,0,0,0,0
4514338,1,2,1.0,2.0,0.0,35.0,342.0,7.0,8263.888671875,1941500.125,0,0,1,0
4514339,1,1,1.0,2.0,0.0,35.0,352.0,6.0,5541.66650390625,1083000,0,1,1,0
4514339,1,2,1.0,2.0,1.0,39.0,352.0,7.0,7689.39404296875,1616333.375,0,1,1,0
4514343,1,1,1.0,2.0,1.0,29.0,429.0,6.0,3240.74072265625,779000,0,0,1,0
4514348,1,1,1.0,2.0,0.0,56.0,348.0,4.0,3586.12426757812,820857,0,1,0,0
4514349,1,3,1.0,2.0,1.0,23.0,243.0,7.0,4303.34912109375,882333.4375,0,1,0,0
4514349,1,2,1.0,2.0,1.0,30.0,243.0,6.0,3456.7900390625,949806.6875,0,1,0,0
4514350,1,2,1.0,2.0,1.0,28.0,255.0,7.0,3888.88891601562,949806.6875,1,1,0,0
4514352,1,2,0.0,2.0,1.0,36.0,259.0,6.0,4375.0,3e+05,0,0,0,0
4514354,1,2,1.0,2.0,0.0,33.0,201.0,7.0,7291.66650390625,1591500,0,0,1,0
4514354,1,1,1.0,2.0,1.0,38.0,201.0,6.0,3586.12426757812,795883.6875,0,1,1,0
4514357,1,1,1.0,2.0,0.0,51.0,243.0,6.0,5185.18505859375,1083333.375,0,1,0,0
4514359,1,1,1.0,2.0,1.0,43.0,145.0,7.0,17013.888671875,3633333.25,0,0,0,0
4514360,1,1,1.0,2.0,0.0,41.0,254.0,6.0,8166.66650390625,1659806.625,0,1,1,0
4514361,1,2,1.0,2.0,0.0,31.0,288.0,6.0,3586.12426757812,826883.6875,0,1,1,0
4514361,1,3,1.0,2.0,1.0,36.0,288.0,5.0,3586.12426757812,825800.375,0,1,1,0
4514363,2,1,1.0,2.0,0.0,50.0,235.0,6.0,3586.12426757812,910333.4375,0,1,1,0
4514364,1,2,1.0,2.0,0.0,42.0,331.0,6.0,4375.0,1087000,0,1,0,0
4514364,1,1,1.0,2.0,1.0,45.0,331.0,4.0,7777.77783203125,1500000,0,0,0,0
4514364,1,3,1.0,2.0,1.0,20.0,331.0,7.0,3056.66674804688,786000,0,0,0,0
4514365,1,1,1.0,2.0,1.0,49.0,263.0,6.0,5833.33349609375,1283140,0,1,0,0
4514368,1,2,1.0,2.0,1.0,27.0,255.0,7.0,6666.66650390625,1333140,0,1,0,0
4514369,1,3,1.0,2.0,0.0,24.0,132.0,7.0,13416.6669921875,3050000,0,0,0,0
4514369,1,1,1.0,2.0,0.0,47.0,132.0,7.0,4722.22216796875,2283333.25,0,1,0,0
4514370,2,2,0.0,3.0,1.0,21.0,235.0,7.0,5444.4443359375,350000,0,0,0,0
4514371,1,1,0.0,2.0,1.0,29.0,263.0,6.0,3586.12426757812,820857,0,1,0,0
4514374,1,2,1.0,2.0,1.0,35.0,250.0,4.0,5000.0,1513140,0,1,0,0
4514374,1,1,1.0,2.0,0.0,56.0,250.0,6.0,3586.12426757812,882333.4375,0,1,0,0
4514375,1,1,1.0,2.0,0.0,53.0,201.0,6.0,5833.33349609375,1275000,0,1,0,0
4514375,1,2,1.0,2.0,0.0,23.0,201.0,7.0,7291.66650390625,1625000,0,0,0,0
4514376,1,1,1.0,2.0,1.0,41.0,243.0,6.0,3512.93798828125,820857,0,1,0,0
4514377,1,1,0.0,2.0,0.0,32.0,338.0,6.0,3586.12426757812,820857,0,1,0,0
4514378,1,1,0.0,2.0,1.0,62.0,234.0,4.0,3333.33325195312,1200000,1,0,0,0
4514379,1,1,1.0,2.0,1.0,24.0,327.0,7.0,6805.5556640625,1693140,0,1,0,0
4514380,1,2,1.0,3.0,0.0,43.0,219.0,7.0,21777.77734375,3150000,0,0,0,0
4514380,1,1,1.0,3.0,1.0,55.0,219.0,7.0,20222.22265625,2925000,0,0,0,0
4514381,1,1,1.0,2.0,0.0,73.0,254.0,4.0,4303.34912109375,737717,0,0,0,0
4514382,1,2,0.0,2.0,1.0,51.0,259.0,5.0,4861.111328125,1e+06,0,0,0,0
4514384,1,8,1.0,3.0,0.0,47.0,208.0,6.0,3586.12426757812,882523.6875,0,1,0,0
4514384,1,6,1.0,3.0,0.0,29.0,208.0,6.0,5250.0,1087140,0,1,1,0
4514387,1,3,1.0,3.0,0.0,25.0,268.0,6.0,2430.5556640625,741473.3125,0,1,0,0
4514388,1,2,1.0,3.0,0.0,24.0,214.0,6.0,3796.52783203125,935166.6875,0,1,0,0
4514388,1,1,1.0,3.0,1.0,27.0,214.0,6.0,3796.52783203125,941166.6875,0,1,0,0
4514390,1,1,1.0,4.0,1.0,52.0,214.0,7.0,38888.890625,8977084,0,0,0,0
4514390,1,2,1.0,4.0,0.0,52.0,214.0,7.0,26962.962890625,6018333.5,0,0,0,0
4514390,1,4,1.0,4.0,1.0,25.0,214.0,7.0,6416.66650390625,1461473.375,0,1,0,0
4514391,1,2,1.0,4.0,0.0,30.0,242.0,7.0,9722.22265625,2166666.75,0,0,0,0
4514395,1,3,1.0,3.0,0.0,19.0,194.0,7.0,4131.9443359375,916666.6875,0,1,0,0
4514395,1,1,1.0,3.0,0.0,37.0,194.0,7.0,3586.12426757812,889357,0,1,0,0
4514395,1,4,1.0,3.0,0.0,18.0,194.0,7.0,4618.0556640625,1008333.3125,0,1,0,0
4514397,1,1,1.0,4.0,1.0,41.0,342.0,7.0,24305.5546875,5416666.5,0,0,0,0
4514398,1,3,1.0,4.0,0.0,33.0,250.0,7.0,5055.5556640625,650000,0,0,0,0
4514402,1,1,1.0,2.0,0.0,53.0,205.0,6.0,3586.12426757812,849857,0,1,1,0
4514403,1,1,0.0,3.0,0.0,60.0,180.0,4.0,3825.19921875,737717,0,0,0,0
4514404,1,2,1.0,2.0,0.0,43.0,250.0,7.0,12460.0,1602000,0,1,0,0
4514404,1,1,0.0,2.0,0.0,62.0,250.0,6.0,3791.66674804688,780000,0,0,0,0
4514405,1,1,0.0,2.0,1.0,47.0,255.0,6.0,12444.4443359375,3200000,0,0,0,0
4514406,1,2,0.0,3.0,1.0,18.0,228.0,7.0,4666.66650390625,3e+05,0,0,0,0
4514406,1,1,1.0,3.0,0.0,44.0,228.0,7.0,16333.3330078125,7e+05,0,0,0,0
4514409,1,2,0.0,2.0,1.0,23.0,208.0,6.0,2333.33325195312,8e+05,0,0,0,0
4514411,1,3,1.0,3.0,1.0,22.0,194.0,6.0,3586.12426757812,766883.6875,0,1,0,0
4514411,1,4,1.0,3.0,0.0,21.0,194.0,6.0,3586.12426757812,737717,0,1,0,0
4514411,1,1,1.0,3.0,1.0,47.0,194.0,6.0,3586.12426757812,766883.6875,0,1,0,0
4514411,1,2,1.0,3.0,0.0,50.0,194.0,6.0,3586.12426757812,798967.0625,0,1,0,0
4514412,1,1,1.0,3.0,1.0,35.0,205.0,7.0,6066.66650390625,1541473.375,0,1,1,0
4514412,1,2,1.0,3.0,0.0,37.0,205.0,7.0,4303.34912109375,889217,0,0,1,0
4514413,1,3,1.0,2.0,0.0,24.0,134.0,7.0,4666.66650390625,1058300,0,1,0,0
4514413,1,2,0.0,2.0,0.0,47.0,134.0,5.0,1944.44445800781,320000,0,1,0,0
4514415,1,2,1.0,3.0,1.0,18.0,228.0,7.0,4861.111328125,1162306.625,0,1,0,0
4514415,1,1,0.0,3.0,0.0,46.0,228.0,6.0,2100.0,360000,0,0,0,0
4514416,1,2,1.0,2.0,0.0,57.0,211.0,6.0,3791.66674804688,780000,0,1,0,0
4514416,1,3,0.0,2.0,1.0,24.0,211.0,6.0,8750.0,6e+05,0,0,0,0
4514416,1,5,1.0,2.0,0.0,20.0,211.0,7.0,3586.12426757812,737717,0,0,0,0
4514419,1,3,0.0,2.0,1.0,42.0,238.0,5.0,3442.67944335938,737717,0,0,0,0
4514420,1,2,1.0,2.0,1.0,25.0,259.0,6.0,5347.22216796875,1274806.625,0,1,0,0
4514421,1,2,1.0,3.0,0.0,58.0,234.0,7.0,15555.5556640625,2333333.25,0,0,0,0
4514422,1,1,1.0,2.0,1.0,46.0,243.0,6.0,9800.0,2600000,0,0,0,0
4514423,1,3,1.0,2.0,1.0,25.0,210.0,6.0,4618.0556640625,950000,0,1,0,0
4514424,1,1,1.0,3.0,0.0,31.0,250.0,7.0,9722.22265625,2166666.75,0,1,0,0
4514428,1,2,1.0,3.0,0.0,23.0,263.0,7.0,7259.25927734375,1599806.625,0,1,0,0
4514428,1,1,1.0,3.0,1.0,25.0,263.0,7.0,4666.66650390625,903140,0,1,0,0
4514429,1,1,0.0,2.0,1.0,26.0,352.0,6.0,5833.33349609375,1200000,0,0,0,0
4514430,1,2,1.0,3.0,0.0,35.0,255.0,7.0,19765.27734375,4441000,0,0,0,0
4514431,1,1,1.0,2.0,1.0,52.0,243.0,5.0,4861.111328125,1166473.375,0,1,0,0
4514431,1,2,1.0,2.0,0.0,51.0,243.0,5.0,3586.12426757812,882333.4375,0,1,0,0
4514433,1,1,1.0,2.0,1.0,60.0,230.0,6.0,6049.3828125,1483140,0,1,0,0
4514434,1,1,1.0,3.0,1.0,30.0,258.0,6.0,5541.66650390625,1304806.625,0,1,0,0
4514434,2,1,0.0,3.0,1.0,32.0,258.0,5.0,2500.0,9e+05,0,0,0,0
4514434,4,1,1.0,3.0,1.0,27.0,258.0,3.0,5541.66650390625,1223140,0,1,0,0
4514435,1,3,1.0,3.0,1.0,21.0,194.0,7.0,3586.12426757812,737717,0,1,0,0
4514436,1,1,1.0,2.0,1.0,30.0,263.0,7.0,4861.111328125,1e+06,0,1,0,0
4514438,1,3,1.0,3.0,1.0,27.0,238.0,7.0,14000.0,3150000,0,0,1,0
4514438,1,1,1.0,3.0,1.0,59.0,238.0,3.0,4861.111328125,1166473.375,0,1,0,0
4514438,1,2,1.0,3.0,0.0,57.0,238.0,4.0,7000.0,1300000,0,1,0,0
4514440,1,1,0.0,3.0,1.0,43.0,194.0,6.0,2871.794921875,8e+05,0,0,0,0
